[2025-03-17T20:16:59.329Z] GET /api/patients/
[2025-03-17T20:18:51.326Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:36.401Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:40.172Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:55.563Z] DELETE /api/patients/discharge/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:00.089Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:26.994Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:27.469Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:27.753Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:27.986Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:28.382Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:28.566Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:28.772Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:34.469Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:37.265Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:32:57.393Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:33:10.016Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:33:20.344Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:40:52.766Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:02.637Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:10.768Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:18.359Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:36.135Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:50.715Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:41:59.357Z] DELETE /api/patients/discharge/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:02.174Z] DELETE /api/patients/discharge/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:06.657Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:19.293Z] PUT /api/patients/treat/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:25.657Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:30.506Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:42:48.535Z] DELETE /api/patients/discharge/3 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:09.303Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:12.225Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:20.675Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:26.148Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:41.728Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:50:48.805Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:00.931Z] DELETE /api/patients/discharge/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:06.694Z] DELETE /api/patients/discharge/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:15.140Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:24.762Z] PUT /api/patients/treat/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:26.224Z] PUT /api/patients/treat/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:32.283Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:37.337Z] DELETE /api/patients/discharge/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:51:47.291Z] DELETE /api/patients/discharge/2 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:31:20.667Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:32:52.887Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:36:10.563Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:36:22.768Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:37:02.210Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:39:15.345Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-18T02:40:53.725Z] DELETE /api/patients/discharge/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
